Year,Quarter,Vehicle_Type,Category,Manufacturer,Registration_Count,YoY_Growth,QoQ_Growth
2022,Q1,3W,THREE WHEELER(NT),All,1650,,
2022,Q2,3W,THREE WHEELER(NT),All,1980,,20.0
2022,Q3,3W,THREE WHEELER(NT),All,3854,,94.65
2022,Q4,3W,THREE WHEELER(NT),All,6332,,64.3
2023,Q1,3W,THREE WHEELER(NT),All,6103,,-3.62
2023,Q2,3W,THREE WHEELER(NT),All,639,,-89.53
2023,Q3,3W,THREE WHEELER(NT),All,272,,-57.43
2023,Q4,3W,THREE WHEELER(NT),All,246,,-9.56
2024,Q1,3W,THREE WHEELER(NT),All,218,,-11.38
2024,Q2,3W,THREE WHEELER(NT),All,235,,7.8
2024,Q3,3W,THREE WHEELER(NT),All,247,,5.11
2024,Q4,3W,THREE WHEELER(NT),All,276,,11.74
2025,Q1,3W,THREE WHEELER(NT),All,240,,-13.04
2025,Q2,3W,THREE WHEELER(NT),All,376,,56.67
2022,Q1,3W,THREE WHEELER(T),All,135907,,
2022,Q2,3W,THREE WHEELER(T),All,137791,,1.39
2022,Q3,3W,THREE WHEELER(T),All,179952,,30.6
2022,Q4,3W,THREE WHEELER(T),All,216521,,20.32
2023,Q1,3W,THREE WHEELER(T),All,232890,,7.56
2023,Q2,3W,THREE WHEELER(T),All,245175,,5.28
2023,Q3,3W,THREE WHEELER(T),All,307598,,25.46
2023,Q4,3W,THREE WHEELER(T),All,312524,,1.6
2024,Q1,3W,THREE WHEELER(T),All,301310,,-3.59
2024,Q2,3W,THREE WHEELER(T),All,272493,,-9.56
2024,Q3,3W,THREE WHEELER(T),All,322283,,18.27
2024,Q4,3W,THREE WHEELER(T),All,324792,,0.78
2025,Q1,3W,THREE WHEELER(T),All,300355,,-7.52
2025,Q2,3W,THREE WHEELER(T),All,304480,,1.37
2022,Q1,2W,TWO WHEELER (INVALID CARRIAGE),All,3888,,
2022,Q2,2W,TWO WHEELER (INVALID CARRIAGE),All,4844,,24.59
2022,Q3,2W,TWO WHEELER (INVALID CARRIAGE),All,3064,,-36.75
2022,Q4,2W,TWO WHEELER (INVALID CARRIAGE),All,1924,,-37.21
2023,Q1,2W,TWO WHEELER (INVALID CARRIAGE),All,6295,,227.18
2023,Q2,2W,TWO WHEELER (INVALID CARRIAGE),All,5905,,-6.2
2023,Q3,2W,TWO WHEELER (INVALID CARRIAGE),All,6944,,17.6
2023,Q4,2W,TWO WHEELER (INVALID CARRIAGE),All,5312,,-23.5
2024,Q1,2W,TWO WHEELER (INVALID CARRIAGE),All,6525,,22.84
2024,Q2,2W,TWO WHEELER (INVALID CARRIAGE),All,3032,,-53.53
2024,Q3,2W,TWO WHEELER (INVALID CARRIAGE),All,3252,,7.26
2024,Q4,2W,TWO WHEELER (INVALID CARRIAGE),All,3055,,-6.06
2025,Q1,2W,TWO WHEELER (INVALID CARRIAGE),All,10581,,246.35
2025,Q2,2W,TWO WHEELER (INVALID CARRIAGE),All,4165,,-60.64
